,Column 1,Column 2,Column 3,Column 4,Column 5
symbol03symbol03symbol03,0,1,0,0,0
symbol03symbol03symbol04,0,0,0,2,0
symbol03symbol03symbol09,0,1,0,0,0
symbol03symbol03symbol11,0,0,0,0,1
symbol03symbol04symbol03,0,1,1,1,0
symbol03symbol04symbol05,1,0,0,0,0
symbol03symbol04symbol09,0,1,1,0,1
symbol03symbol05symbol03,1,1,0,1,0
symbol03symbol05symbol04,0,0,1,0,0
symbol03symbol05symbol07,0,2,0,0,0
symbol03symbol05symbol08,0,0,0,1,0
symbol03symbol05symbol09,0,0,0,1,0
symbol03symbol06symbol03,0,2,1,0,0
symbol03symbol06symbol05,0,2,0,0,0
symbol03symbol06symbol07,0,1,0,1,0
symbol03symbol06symbol08,0,0,1,0,0
symbol03symbol06symbol09,1,0,0,0,0
symbol03symbol06symbol11,1,0,1,0,0
symbol03symbol06symbol12,0,0,1,0,0
symbol03symbol07symbol05,1,0,0,0,0
symbol03symbol07symbol09,1,1,0,0,0
symbol03symbol08symbol04,1,0,0,0,0
symbol03symbol08symbol11,1,0,0,0,0
symbol03symbol09symbol03,0,0,2,0,0
symbol03symbol09symbol04,1,0,0,0,0
symbol03symbol09symbol05,1,0,0,0,0
symbol03symbol09symbol06,0,0,0,1,0
symbol03symbol09symbol07,0,0,1,0,0
symbol03symbol09symbol08,0,0,1,0,0
symbol03symbol09symbol09,1,0,0,0,1
symbol03symbol09symbol12,0,0,1,0,0
symbol03symbol10symbol03,0,1,0,0,0
symbol03symbol10symbol04,0,1,0,0,0
symbol03symbol10symbol06,0,1,0,0,0
symbol03symbol10symbol09,0,1,0,0,0
symbol03symbol11symbol04,0,2,0,0,0
symbol03symbol11symbol05,1,0,0,0,0
symbol03symbol12symbol10,1,0,0,0,0
symbol04symbol03symbol03,0,0,1,0,1
symbol04symbol03symbol04,0,1,1,1,0
symbol04symbol03symbol06,1,1,1,0,0
symbol04symbol03symbol07,0,0,0,0,1
symbol04symbol03symbol11,0,1,0,0,0
symbol04symbol03symbol12,0,0,0,0,1
symbol04symbol04symbol03,0,0,0,1,0
symbol04symbol04symbol05,2,0,0,1,0
symbol04symbol04symbol07,1,0,1,0,1
symbol04symbol04symbol08,0,1,0,0,0
symbol04symbol04symbol12,0,0,0,0,1
symbol04symbol05symbol04,0,0,0,1,0
symbol04symbol05symbol05,0,1,1,0,0
symbol04symbol05symbol06,0,0,0,2,0
symbol04symbol05symbol08,0,0,1,0,0
symbol04symbol05symbol09,0,0,1,1,0
symbol04symbol05symbol10,0,0,0,0,1
symbol04symbol06symbol03,0,0,0,1,0
symbol04symbol06symbol04,1,0,0,0,0
symbol04symbol06symbol05,1,1,0,0,0
symbol04symbol06symbol08,2,0,0,0,0
symbol04symbol06symbol09,1,0,0,0,0
symbol04symbol06symbol11,0,1,0,0,0
symbol04symbol06symbol12,0,0,1,0,0
symbol04symbol07symbol03,1,0,1,0,1
symbol04symbol07symbol04,0,0,1,0,0
symbol04symbol07symbol06,0,0,0,1,0
symbol04symbol07symbol07,0,0,1,0,1
symbol04symbol08symbol04,1,0,0,0,0
symbol04symbol09symbol05,0,1,0,1,0
symbol04symbol09symbol07,1,1,0,2,0
symbol04symbol09symbol09,0,0,1,0,0
symbol04symbol09symbol11,0,0,1,0,0
symbol04symbol09symbol12,0,0,0,2,0
symbol04symbol10symbol04,0,0,1,0,0
symbol04symbol10symbol05,0,0,0,1,0
symbol04symbol10symbol09,0,1,0,1,0
symbol04symbol10symbol11,0,1,0,0,0
symbol04symbol11symbol03,0,1,0,1,0
symbol04symbol11symbol05,1,0,0,0,0
symbol04symbol11symbol06,0,0,0,0,1
symbol04symbol11symbol07,0,1,0,0,0
symbol04symbol12symbol04,1,0,0,1,0
symbol05symbol03symbol03,0,0,0,0,1
symbol05symbol03symbol05,2,0,0,0,1
symbol05symbol03symbol07,0,0,0,1,1
symbol05symbol03symbol09,1,0,1,0,0
symbol05symbol04symbol03,0,1,2,0,0
symbol05symbol04symbol04,0,0,0,1,1
symbol05symbol04symbol06,0,0,0,1,0
symbol05symbol04symbol07,1,0,0,0,0
symbol05symbol04symbol09,1,0,0,0,0
symbol05symbol05symbol03,0,0,3,0,0
symbol05symbol05symbol06,0,0,1,0,0
symbol05symbol05symbol09,0,0,0,0,1
symbol05symbol06symbol03,0,1,0,0,0
symbol05symbol06symbol04,0,0,1,0,1
symbol05symbol06symbol05,0,0,0,0,1
symbol05symbol06symbol06,0,0,1,0,0
symbol05symbol06symbol10,2,0,0,0,0
symbol05symbol07symbol04,0,0,0,1,0
symbol05symbol07symbol06,0,0,1,0,0
symbol05symbol07symbol07,0,0,0,0,1
symbol05symbol08symbol04,1,0,0,0,0
symbol05symbol08symbol06,0,0,0,0,1
symbol05symbol08symbol10,0,0,0,0,1
symbol05symbol09symbol03,0,0,0,1,0
symbol05symbol09symbol04,0,0,0,1,0
symbol05symbol09symbol06,0,0,0,0,2
symbol05symbol09symbol07,0,0,0,0,1
symbol05symbol09symbol09,0,0,1,0,1
symbol05symbol10symbol04,0,0,0,0,1
symbol05symbol10symbol07,0,0,0,0,1
symbol05symbol11symbol03,0,0,1,0,0
symbol05symbol11symbol05,0,0,1,0,0
symbol05symbol11symbol08,1,0,0,0,0
symbol05symbol11symbol09,1,1,0,0,0
symbol06symbol03symbol03,0,1,0,1,0
symbol06symbol03symbol04,0,0,1,0,0
symbol06symbol03symbol05,2,0,0,0,0
symbol06symbol03symbol06,0,0,0,3,2
symbol06symbol03symbol07,1,0,0,0,0
symbol06symbol03symbol09,0,1,0,0,0
symbol06symbol04symbol03,0,0,0,1,1
symbol06symbol04symbol04,1,0,0,0,0
symbol06symbol04symbol05,0,5,0,0,0
symbol06symbol04symbol06,0,0,0,0,1
symbol06symbol04symbol07,0,0,0,0,1
symbol06symbol04symbol09,1,0,0,1,0
symbol06symbol04symbol10,1,1,0,0,0
symbol06symbol05symbol04,0,0,1,0,0
symbol06symbol05symbol05,0,1,0,0,0
symbol06symbol05symbol07,0,1,0,0,0
symbol06symbol05symbol09,0,0,2,0,0
symbol06symbol05symbol10,1,0,0,0,0
symbol06symbol06symbol06,0,0,1,0,1
symbol06symbol06symbol09,0,0,0,0,1
symbol06symbol06symbol10,0,1,0,0,0
symbol06symbol06symbol11,0,0,0,1,0
symbol06symbol07symbol05,0,0,1,0,0
symbol06symbol07symbol12,0,0,0,1,0
symbol06symbol09symbol03,0,0,1,0,0
symbol06symbol09symbol04,0,0,1,0,1
symbol06symbol09symbol05,0,0,1,0,0
symbol06symbol09symbol07,0,0,1,0,0
symbol06symbol09symbol08,0,0,0,1,0
symbol06symbol09symbol09,0,1,0,0,0
